rank,indice,estadistico,importancia,NIR_RedEdge
1,Red,mean,0.02626,
2,SI,std,0.02461,
3,GRVI,p25,0.0238,
4,RENDVI,std,0.02354,*
5,VARI,p25,0.01926,
6,NIR_Red,p25,0.01856,*
7,NDVI,std,0.01846,*
8,CI_soil,skewness,0.01808,
9,NDSVI,std,0.01615,*
10,NDSI,std,0.01593,*
11,RedEdge,min,0.01533,*
12,Red_Green,p75,0.01489,
13,NDSI,p75,0.01429,*
14,NDVI,p25,0.01428,*
15,Red,std,0.01417,
16,MSAVI,p25,0.01326,*
17,NDVI,skewness,0.01178,*
18,RedEdge_Red,p25,0.01138,*
19,RENDVI,p25,0.00952,*
20,Red,p75,0.00947,
