sesion,zona,clase,tiene_mina,parche_x,parche_y,proba,proba_concuota
2,MINA_1CM_1,Fondo,0,0,0,0.0004425014878506772,0.0009327767067588866
2,MINA_1CM_1,Fondo,0,64,0,0.009073915460612625,0.00982315936125815
2,MINA_1CM_1,Fondo,0,128,0,0.006582764815539122,0.0035243265854660423
2,MINA_1CM_1,Fondo,0,192,0,0.0031881857255939396,0.0014309736958239227
2,MINA_1CM_1,Fondo,0,256,0,0.017895720805972813,0.00452327678212896
2,MINA_1CM_1,Fondo,0,320,0,0.02091941749677062,0.007716392003931105
2,MINA_1CM_1,Fondo,0,384,0,0.024230783549137415,0.013346864731283858
2,MINA_1CM_1,Fondo,0,448,0,0.06086266543716192,0.028525275830179452
2,MINA_1CM_1,Fondo,0,512,0,0.13635389944538473,0.12427108883857726
2,MINA_1CM_1,Fondo,0,576,0,0.021480616088956593,0.12176650129258633
2,MINA_1CM_1,Fondo,0,640,0,0.014832759869750588,0.06627625725232064
2,MINA_1CM_1,Fondo,0,704,0,0.0988955931738019,0.09752279873937368
2,MINA_1CM_1,Fondo,0,768,0,0.03470076387748122,0.015791125828400254
2,MINA_1CM_1,Fondo,0,832,0,0.05481026694178581,0.0023102394072338937
2,MINA_1CM_1,Fondo,0,896,0,0.02761972714215517,0.0016469144873553887
2,MINA_1CM_1,Fondo,0,960,0,0.005246818426530808,0.002804236562224105
2,MINA_1CM_1,Fondo,0,1024,0,0.01046128406887874,0.0038360601931344716
2,MINA_1CM_1,Fondo,0,1088,0,0.007262421422637999,0.00637291835155338
2,MINA_1CM_1,Fondo,0,0,64,0.00021519036672543735,0.00113720309745986
2,MINA_1CM_1,Fondo,0,64,64,0.01314384478610009,0.02367023266851902
2,MINA_1CM_1,Fondo,0,128,64,0.0041830518515780565,0.008923491765744983
2,MINA_1CM_1,Fondo,0,192,64,0.0005451234610518441,0.0005356224370189011
2,MINA_1CM_1,Fondo,0,256,64,0.000984661300026346,0.002153298247139901
2,MINA_1CM_1,Fondo,0,320,64,0.005488041194621473,0.005582673230674118
2,MINA_1CM_1,Fondo,0,384,64,0.0028636095055844637,0.005012506083585322
2,MINA_1CM_1,Fondo,0,448,64,0.027019097423180937,0.027691703685559333
2,MINA_1CM_1,Fondo,0,512,64,0.06946770879440009,0.16076850965619088
2,MINA_1CM_1,Fondo,0,576,64,0.0358312028227374,0.20062755085527897
2,MINA_1CM_1,Fondo,0,640,64,0.037738562049344185,0.06386827360838651
2,MINA_1CM_1,Fondo,0,704,64,0.03481269031763077,0.05648692175745964
2,MINA_1CM_1,Fondo,0,768,64,0.036908406671136616,0.030635907594114543
2,MINA_1CM_1,Fondo,0,832,64,0.0151168305426836,0.00955292652361095
2,MINA_1CM_1,Fondo,0,896,64,0.032682063058018684,0.005542452831286937
2,MINA_1CM_1,Fondo,0,960,64,0.0010619763197610155,0.0009715139254694805
2,MINA_1CM_1,Fondo,0,1024,64,0.0011509079442475923,0.0006108924542786553
2,MINA_1CM_1,Fondo,0,1088,64,0.004807897796854377,0.0072426142171025274
2,MINA_1CM_1,Fondo,0,0,128,0.00014812740846537054,0.00029735128773609174
2,MINA_1CM_1,Fondo,0,64,128,0.012690640497021377,0.00654958444647491
2,MINA_1CM_1,Fondo,0,128,128,0.023956897528842093,0.01601151595823467
2,MINA_1CM_1,Fondo,0,192,128,0.006687232246622443,0.0051452962099574505
2,MINA_1CM_1,Fondo,0,256,128,0.002934329799609259,0.011502752429805696
2,MINA_1CM_1,Fondo,0,320,128,0.01757209491916001,0.05463927639648318
2,MINA_1CM_1,Botella,0,384,128,0.0461099854321219,0.07987740524113178
2,MINA_1CM_1,Botella,0,448,128,0.20159069458022713,0.2008865639567375
2,MINA_1CM_1,Botella,0,512,128,0.2526093654334545,0.43027267456054685
2,MINA_1CM_1,Botella,0,576,128,0.2425057951360941,0.4698225542902946
2,MINA_1CM_1,Botella,0,640,128,0.17666068859398365,0.20095828790217637
2,MINA_1CM_1,Fondo,0,704,128,0.03342793849296868,0.02864468569168821
2,MINA_1CM_1,Fondo,0,768,128,0.07073133159428835,0.13823676537722349
2,MINA_1CM_1,Fondo,0,832,128,0.10473591750487685,0.137773160263896
2,MINA_1CM_1,Fondo,0,896,128,0.027473972458392382,0.007096843211911619
2,MINA_1CM_1,Fondo,0,960,128,0.008259354974143207,0.002399655315093696
2,MINA_1CM_1,Fondo,0,1024,128,0.004396491078659892,0.0006923204637132585
2,MINA_1CM_1,Fondo,0,1088,128,0.0033583222306333483,0.002732534357346594
2,MINA_1CM_1,Fondo,0,0,192,0.0007069968298310414,0.0006977672339417041
2,MINA_1CM_1,Fondo,0,64,192,0.004131070978473872,0.003161127143539488
2,MINA_1CM_1,Fondo,0,128,192,0.015394033188931644,0.014063139539211988
2,MINA_1CM_1,Fondo,0,192,192,0.031164899887517094,0.06333513977006078
2,MINA_1CM_1,Fondo,0,256,192,0.0460891337133944,0.06944232759997249
2,MINA_1CM_1,Fondo,0,320,192,0.05476935710757971,0.06921216286718845
2,MINA_1CM_1,Fondo,0,384,192,0.017138406564481557,0.014285940304398536
2,MINA_1CM_1,Fondo,0,448,192,0.06730570662766695,0.10948672741651536
2,MINA_1CM_1,Fondo,0,512,192,0.22791534159332513,0.4144828528165817
2,MINA_1CM_1,Fondo,0,576,192,0.37001252695918085,0.5806015476584434
2,MINA_1CM_1,Fondo,0,640,192,0.2810445975512266,0.39375936836004255
2,MINA_1CM_1,Fondo,0,704,192,0.1804621120914817,0.1286236397922039
2,MINA_1CM_1,Fondo,0,768,192,0.1432745385915041,0.06265182523056864
2,MINA_1CM_1,Fondo,0,832,192,0.4159076131880283,0.44635246098041537
2,MINA_1CM_1,Fondo,0,896,192,0.04837180860340595,0.045062136836349964
2,MINA_1CM_1,Fondo,0,960,192,0.05161324953660369,0.013360059773549437
2,MINA_1CM_1,Fondo,0,1024,192,0.009329704201081767,0.0031908123288303613
2,MINA_1CM_1,Fondo,0,1088,192,0.0003884177276631817,0.0005866865627467633
2,MINA_1CM_1,Fondo,0,0,256,0.0011160758731421083,0.00044662530563073234
2,MINA_1CM_1,Fondo,0,64,256,0.012272842787206173,0.0034183718962594867
2,MINA_1CM_1,Fondo,0,128,256,0.016840809700079264,0.013794480776414274
2,MINA_1CM_1,Fondo,0,192,256,0.13864099476486444,0.05923937154002488
2,MINA_1CM_1,Fondo,0,256,256,0.19239410143345595,0.030154038919135928
2,MINA_1CM_1,Fondo,0,320,256,0.09739103764295579,0.054737864434719084
2,MINA_1CM_1,Fondo,0,384,256,0.3514764614403248,0.0375079644843936
2,MINA_1CM_1,Fondo,0,448,256,0.2188289888203144,0.15175605714321136
2,MINA_1CM_1,Fondo,0,512,256,0.28795375749468805,0.3366961620748043
2,MINA_1CM_1,Fondo,0,576,256,0.30232683904469015,0.1652910988777876
2,MINA_1CM_1,Fondo,0,640,256,0.2597953195683658,0.17520380169153213
2,MINA_1CM_1,Fondo,0,704,256,0.30977212814614175,0.391484309732914
2,MINA_1CM_1,Fondo,0,768,256,0.2922766154631972,0.3649641901254654
2,MINA_1CM_1,Fondo,0,832,256,0.6249198406934738,0.7655250668525696
2,MINA_1CM_1,Fondo,0,896,256,0.09419702086597681,0.05626001711934805
2,MINA_1CM_1,Fondo,0,960,256,0.08567353151738644,0.045298001077026126
2,MINA_1CM_1,Fondo,0,1024,256,0.017895711795426907,0.005427225434686989
2,MINA_1CM_1,Fondo,0,1088,256,0.005843300302512944,0.00382508160546422
2,MINA_1CM_1,Fondo,0,0,320,0.0009042427293024958,0.0005467451148433611
2,MINA_1CM_1,Fondo,0,64,320,0.05486419387161732,0.018450366239994763
2,MINA_1CM_1,Fondo,0,128,320,0.01779736578464508,0.02256064466200769
2,MINA_1CM_1,Fondo,0,192,320,0.009459402272477746,0.007267581892665476
2,MINA_1CM_1,Fondo,0,256,320,0.028492003120481967,0.019614802626892924
